"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.23425505235173,-0.131851932924262,0.966,0.96,1,"Th2","CALM1"
0.253674292791155,-0.106441806880569,0.461,0.49,1,"Th2","CD226"
0.262298643089841,0.101656280859054,0.733,0.743,1,"Th2","SUCLG1"
0.263250537468235,-0.147104271616444,0.568,0.617,1,"Th2","SAR1A"
0.265452615489112,-0.105973671455682,0.786,0.775,1,"Th2","FOXP1"
0.265627916142525,-0.112416999199987,0.762,0.781,1,"Th2","TYMS"
0.270148449271073,-0.129175730677338,0.568,0.599,1,"Th2","DDIT3"
0.279548412349596,-0.182379378080861,0.743,0.691,1,"Th2","XRN1"
0.284111226672266,-0.190099150103262,0.99,0.981,1,"Th2","MT-ND3"
0.295591590647189,-0.119983755969417,0.709,0.702,1,"Th2","GRPEL1"
0.306905022339552,-0.137643575135598,0.165,0.194,1,"Th2","OSM"
0.319582591433688,-0.169255852937603,0.549,0.571,1,"Th2","RRM2"
0.323418718957551,-0.123326497793433,0.806,0.756,1,"Th2","PTPN1"
0.323893537634397,-0.103198357747667,0.917,0.923,1,"Th2","LAT"
0.3312449729586,-0.103098443794163,0.893,0.899,1,"Th2","KMT2E"
0.340788416812768,-0.115858126923551,0.675,0.67,1,"Th2","MGAT1"
0.357600225828746,-0.126084856090869,0.631,0.64,1,"Th2","CAPG"
0.369946060664707,-0.105509782947435,0.772,0.749,1,"Th2","CD247"
0.395682744276209,-0.121382169549752,0.403,0.413,1,"Th2","USP12"
0.396700235105981,0.1256585477059,0.272,0.259,1,"Th2","SMCO4"
0.397258168376138,0.100125614622921,0.888,0.908,1,"Th2","SSR3"
0.405570528975566,-0.176173236638804,0.84,0.831,1,"Th2","HN1"
0.424752802895539,0.241932794064355,0.854,0.88,1,"Th2","HILPDA"
0.432606594852782,-0.149954531219429,0.743,0.715,1,"Th2","BCL2"
0.441454534894722,-0.303795820983168,0.879,0.815,1,"Th2","CCR7"
