"","group_iTreg","group_Th17","group_Th2","group_Th0"
"LGALS3",0.400708630871256,0.471822851890138,-1.01202903489781,-0.732983370792326
"RABGAP1L",0.323700197743641,-0.179402027506857,-0.187244912704376,NA
"IL2RG",0.266759784323279,-0.182095437400849,-0.40694099833563,0.306963551253086
"EIF3A",-0.376998711144928,-0.128495319179053,0.379437991822508,0.338601538459449
"AHCYL2",0.280572536618381,0.268534519455583,-0.528582134945946,-0.476817903823344
"CCDC85B",-0.430518788473363,0.104527441592902,0.189724187667037,0.302205040766524
"YBX1",-0.321080581025365,-0.175074381514486,0.469550131183005,0.191233167490879
"RPS29",0.188560308306692,NA,-0.418156798158612,NA
"PAIP2",0.33499204139154,NA,-0.345600272758583,-0.183427844470431
"EPS8L2",0.382218399246376,NA,-0.401413116527223,-0.309103798877275
"SLC37A3",-0.273563233886429,-0.115222723957821,0.488095326540446,NA
"MALT1",0.435144754668615,NA,-0.589549007593567,NA
"BZW1",0.408458877383472,NA,-0.428230304581977,-0.373730940905725
"NRN1",0.34520422789969,-0.200190624464716,-0.272425251751267,NA
"SNX9",0.39833201476895,-0.339366040980522,-0.164681905274,NA
"BRK1",0.31335984169096,-0.231961513735041,-0.100133140797422,NA
"IKZF4",0.206420981468862,NA,-0.155117293917882,-0.140489602472079
"TXNRD1",-0.275251792353818,NA,0.256963014774073,0.264291501812867
"S100A4",-0.504904439839636,0.709962108794096,-0.321299275515157,NA
"HERC3",0.268556273582634,-0.230315596439225,NA,NA
"ORAI2",-0.241980080610012,0.119850703821898,NA,0.261560589719868
"TPI1",0.28754339865935,NA,-0.358011862539114,NA
"PRDX5",-0.28409952027956,0.119631170946585,0.283729563610403,-0.120614651788719
"OST4",0.235178724618265,NA,-0.27701710588598,NA
"RRS1",-0.469418246623976,-0.402951463323271,1.09632105035503,-0.332643260025366
"AKAP12",-0.288731202307897,NA,0.413763492229394,-0.211061285472054
"YAF2",0.291199079312293,NA,-0.289521152495354,-0.180448192175128
"FAM210A",0.319441790076529,-0.264183802527969,-0.114760033764333,NA
"LSM12",0.277685536011082,-0.173679927271714,NA,-0.123645580085012
"RBBP7",-0.293541044737641,0.118366156426812,0.226914682767306,NA
"PPP1CA",-0.313390469520518,NA,0.195288208719905,0.295291905750583
"SPRY1",0.229370609083582,-0.136303137518588,-0.113929526754191,NA
"LAMTOR5",0.255029628617742,-0.1015784648303,-0.207432501045572,NA
"RBMX",-0.278229037763449,NA,0.205693697840956,0.212078199034939
"NFKB1",0.302429094980712,-0.249657208351389,-0.131481541862526,NA
"TNFRSF18",0.352606935666619,-0.180231786158141,-0.224032902722263,NA
"SPINT2",-0.414674810723038,-0.19009752649795,0.836878236525559,-0.28687321708853
"MT-ND2",-0.348102164499458,0.297749136573576,NA,NA
"NEK7",0.245342613243128,-0.209260969965337,-0.108448678960911,NA
"MT2A",0.139232678178105,0.698129306873142,-0.962615123637459,-0.703856141826651
"UNQ6494",0.213676613701188,-0.265965573311681,NA,0.11601326085339
"NOB1",0.264109572760442,-0.172565092389372,NA,-0.170527941864396
"CLIP1",-0.314153911106213,NA,0.185718157878012,0.180496048934737
"CSNK1G3",0.296231695542408,-0.120724271118376,-0.202974331646284,-0.101769207346458
"RPS10",-0.209423298977385,-0.211858733910264,0.360292726848085,0.229007299964008
"IKZF1",-0.29521772454355,-0.274635052647931,0.474102536131006,0.300017959572655
"RIMKLA",0.292436298980783,-0.103076253554529,-0.200573087101525,-0.131364274291426
"UBC",0.306497065288653,NA,-0.490212227862307,-0.139294051932648
"RPS16",-0.158045286073613,NA,0.264225359585103,NA
"STAMBP",0.295523928184413,NA,-0.334468392578167,-0.220478148635857
"ALDOA",0.219936331248936,NA,-0.193782067871682,NA
"RGS16",0.421317176009266,0.185964615757472,-0.539367356765479,-0.637823968194191
"PIM3",0.41400343572927,NA,-0.402300191824027,-0.442428257822722
"HNRNPM",-0.316524091886036,NA,0.310987545974069,0.120461496949287
"TRAF3IP3",0.367454356427315,-0.61739803522143,NA,0.327336518357786
"MRPS6",0.285040191710635,-0.164230830110029,NA,-0.154397359509209
"CCNG2",0.266109992446656,-0.141072879399585,-0.123248660077858,-0.108696936832794
"SOCS3",-0.28797677741695,0.365696746192519,NA,NA
"CSGALNACT1",0.127577017271494,NA,NA,NA
"SYTL3",-0.512287400244701,-0.475941135423191,0.865538671349012,0.318578487997003
"SIRPG",0.278656881237965,-0.302378472277675,NA,NA
"WHSC1L1",0.316928113045459,-0.4663905888873,NA,0.107231175429435
"XAF1",-0.327695092360586,NA,-0.227798616631733,0.682756517651418
"STK38L",0.246517293656247,NA,-0.194847666676684,-0.177482487264892
"ARF6",0.303813966973214,NA,-0.287365464205477,-0.182539157529766
"CISD3",-0.240016392626225,NA,0.202959080361237,NA
"C19orf43",-0.291030166832702,0.110316948888065,NA,0.265235803191877
"HNRNPDL",0.252151959066709,-0.151792658157655,-0.101087784081282,NA
"CPSF6",-0.237175540923598,0.111696625899594,0.164849736085979,NA
"P2RY10",0.227125656000069,-0.208620582790813,-0.126807219523381,0.100338467333944
"FKBP5",-0.211153914754188,NA,0.101922057850444,0.12352435856957
"CLEC2D",0.361582290351992,-0.411667341902655,-0.204554953197613,0.261783822571303
"ADM",0.311911577862646,NA,-0.445301670930494,-0.241434349512517
"RP5-1171I10.5",-0.319039059376792,NA,0.224465548811966,0.306965566682022
"HDAC1",-0.292603698083221,NA,0.243928838311609,NA
"DIXDC1",0.261166380712303,0.221859881286988,-0.362297512556957,-0.558546915361364
"PJA2",0.279359672325563,-0.232213896132259,-0.180609780380766,0.106103079793218
"SRSF10",-0.287503419412043,NA,0.189817551466159,0.189460467626037
"FOXP1",0.258961054530011,-0.181012243144809,-0.105973671455682,NA
"PTK2",0.17223188460569,NA,-0.119401911761492,-0.144789715238442
"PKIA",0.230695807746534,NA,-0.152520010757725,NA
"TIMP1",-0.805635834775225,1.40949734794282,-0.653188541933761,-0.925617877632604
"OLFM2",0.173062137187817,NA,-0.161943439831604,NA
"LIMA1",-0.710294389326539,-1.10086297461761,1.67607221441609,NA
"PSMA4",-0.314749611078199,NA,0.273218709678264,0.139071659610937
"HLA-A",0.248271301895292,0.102983169415147,-0.566246442687619,NA
"TNFRSF8",-0.149801062809116,0.236924337280911,NA,-0.117648153181979
"SNHG7",0.279558928047702,-0.198116145415116,NA,-0.236910136575743
"DPP4",-0.188081912839127,NA,NA,0.428435498085619
"CD247",0.281631759093202,-0.312286990638762,-0.105509782947435,0.13897229767352
"INSIG2",0.315781249556,NA,-0.306942872894657,-0.108610546719607
"TAGAP",0.411843400210135,-0.267105225234373,-0.201407248767937,NA
"H2AFZ",-0.400272853426338,0.66197718854038,-0.285726547723494,-0.218318591549334
"PLIN2",0.19583190566567,0.250365829329666,-0.55589411711337,-0.186922941673494
"SLC16A1-AS1",-0.185186031436015,NA,NA,0.122159102351506
"MLLT3",0.248824866046309,-0.163918985074199,-0.316678401472971,0.213363402808679
"EVI2B",0.249131585512846,-0.199318548897795,NA,-0.200352598389667
"TPM4",-0.362705032349595,NA,0.306545333350287,0.140645219567816
"FASN",-0.111359835147212,NA,NA,NA
"LRRFIP1",-0.25585256983688,NA,0.337997889863262,0.106046432722057
"VAMP4",0.275643987440804,NA,-0.246099305337696,NA
"NKG7",-0.501893548436083,NA,0.418340034403887,0.199560593378991
"FKBP11",-0.289306364178832,0.176308306882042,0.131561600879583,NA
"TIMD4",-0.13345851125924,NA,NA,NA
"HNRNPA2B1",-0.33929061865635,-0.108804773513572,0.407552798354364,0.206215972392032
"MBIP",0.208153293921206,NA,NA,-0.207499889247212
"GABPB1-AS1",-0.351051915180588,-0.106629213681818,0.396825137284011,0.237809804781766
"NFKBIA",0.596463780821973,0.207345618494707,-0.784639926961129,-0.877639682682343
"ANKRD36C",-0.251316272863011,NA,0.225365822537399,0.303791234049031
"NOP56",-0.313181319751026,NA,0.274136544900132,0.107499986942345
"CD82",0.348102312893935,NA,-0.323409607348668,-0.204887800412757
"FTL",-0.32199318606991,0.378292335175522,-0.256245415240505,0.201491286670199
"MAT2A",-0.207982142133334,NA,0.125615316435193,0.10904525773629
"PLPP5",0.261641073746332,-0.144523179039044,-0.112960637072624,-0.107034860785569
"CORO1B",0.322631391963737,-0.115554268329115,-0.244209985548303,-0.113484359049285
"ZNF106",-0.227658804968055,NA,0.32024096403917,0.107871886479092
"RPL6",-0.258064494519052,-0.128414692334561,0.414902241232459,NA
"GNG2",0.307746300054028,-0.119024083937062,-0.396736217577657,0.11488817413219
"SERBP1",-0.246444958857481,-0.173320587270624,0.324500833211586,0.280529678649181
"DYNLL1",-0.41420305687531,0.196297137907242,0.140685706500725,0.182575286428961
"RPS4Y1",-0.256064831801391,-0.28544707460252,0.383029826041475,0.384394808596215
"MFSD10",0.24477224084563,NA,-0.326318034952471,-0.210663863469474
"AAK1",0.374896036601506,-0.123244587008249,-0.285839756822843,-0.159334123573639
"EIF5A",-0.305336323912738,NA,0.425757760587124,0.102762602029174
"PGAM1",0.269372771548585,0.156085515343382,-0.432748747997751,-0.308063958396207
"AK2",0.282127433998315,NA,-0.128790951688313,-0.260551120203586
"EBNA1BP2",-0.231174549211231,0.112638782156633,0.196910601713689,NA
"CD200",0.317858958746344,NA,-0.257617165503873,-0.433484169858253
"NR4A2",0.201661459556699,-0.100597886097271,-0.132001684001481,NA
"ERMN",0.123709166617981,NA,NA,NA
"ALOX5AP",0.367387711376002,NA,-0.328210555201876,-0.144412339730475
"TRIB3",-0.298622411532417,NA,0.314572168214909,NA
"NRDC",-0.222827330671219,NA,0.272265332991532,NA
"FUS",-0.283205280559278,0.155151218160784,0.139365014759868,NA
"VKORC1",0.242800608026659,NA,-0.335994213764002,-0.22855278470122
"COPRS",0.315777583823715,NA,-0.268626546799098,-0.203988396900566
"PEX2",0.209577035488839,-0.174531269253533,NA,NA
"ABHD14B",0.216162346620934,NA,NA,-0.188372500398467
"MEA1",0.238143672731782,NA,-0.221970192895966,NA
"NFIL3",-0.178150121551501,-0.167438039733865,0.322694938853538,0.158041042818291
"MGEA5",0.227621292142021,-0.262436730388056,NA,0.105841199177884
"PPP1R15A",0.345850891971685,NA,-0.395654947640974,-0.172004454283461
"TADA3",-0.259900775144841,0.102779166633714,0.258592561835703,NA
"SBF2-AS1",0.243563331935185,NA,-0.170894406836602,-0.264630524500037
"ERO1A",0.258566803323084,-0.177784132249003,-0.202445489050076,NA
"ETFB",-0.407252273211503,-0.376967786130442,0.939558168865077,-0.154708806743685
"FABP5",0.356072312509126,NA,-0.365596952774306,-0.373302546074553
"SEPT1",-0.235362375467543,0.123648532196154,NA,0.119646023367465
"MRPL44",0.215376076723077,-0.127593721067615,NA,NA
"PGK1",0.34896021534328,NA,-0.40788627534959,NA
"WDR33",0.301908785211775,-0.168711378392719,NA,-0.18627839344285
"ANXA5",0.282166825783979,NA,-0.348244731621692,NA
"CHST12",-0.161831424762677,NA,NA,0.267649083334797
"RNF19A",-0.329555015588025,NA,0.483889618674413,NA
"PPIB",-0.245086837699288,NA,0.294966024203063,NA
"LUC7L3",-0.29038642608669,0.111041116981454,0.126164187778027,0.150879881732778
"RPS20",-0.15832806365493,NA,0.163923165494166,NA
"NPW",0.155465959056944,NA,NA,NA
"LEF1",0.259758902359281,NA,-0.394342654281609,-0.148872452304112
"MMP25-AS1",-0.147551290173929,NA,0.179226694717865,0.168097040946946
"MSH6",-0.205034606750591,NA,0.214640910060974,0.175118841065
"UFD1L",-0.256007815149105,NA,0.376488734883721,NA
"MGST2",0.248186231383733,NA,-0.34689154947315,-0.150830715487513
"DDHD1",-0.21820133053763,-0.22366279447849,0.244696174984834,0.42006100703151
"PTMA",0.199334548250577,-0.153602236080644,-0.102037673079564,NA
"CLEC2B",0.33479600751493,NA,-0.881539078602987,0.469930469945834
"PSMB8",-0.26001697077967,-0.19844177184224,0.41904706555587,0.204823671959493
"BCL2L11",0.252540801261941,-0.290457687252867,NA,NA
"RNF181",0.233461103442772,NA,-0.210701050648925,-0.125508529658723
"PSMB2",-0.222284896750628,NA,0.138673239116326,0.104712067383298
"NFKB2",0.244851000362982,NA,-0.310984614531075,NA
"STIP1",-0.201603524588255,-0.133226895510116,0.320779710038749,0.144165967752175
"ME2",-0.195608562692273,NA,0.211772994915048,NA
"PDIA3",-0.287482836050302,NA,0.23243676238549,0.143446253436466
"MGAT1",0.268711538080936,-0.175981505891018,-0.115858126923551,NA
"NDUFA13",-0.245619313800875,NA,0.253397412713373,0.170343687689071
"EPAS1",-0.182438847375868,0.293556983401973,-0.124649554725256,NA
"SAMHD1",-0.179150260300529,-0.104122855690364,NA,0.406800999540236
"TNFSF13B",0.231417035500622,NA,-0.30862364494282,NA
"LAYN",0.251364249039734,-0.323381780827105,-0.17348521604554,0.295576341040665
"RRP1B",-0.190662944002351,NA,0.153984252743927,0.236668039547292
"JAK2",-0.163017062185929,NA,0.192154336598219,0.188863205796871
"CYBA",-0.328135149287984,0.156576454094503,NA,0.2542928677093
"RBPJ",0.273630489356135,0.446750950288508,-0.688243389172574,-0.722344906738139
"NDUFC2",-0.26829569513287,0.132163263933885,NA,0.143121371948856
"P4HA1",0.242779252920309,-0.171324527726172,-0.170770281100985,NA
"ZC3HAV1",-0.314234638131223,0.140167877927158,NA,0.247349178605062
"PSMA5",-0.213870047606787,NA,0.252397477036395,NA
"TXLNA",-0.151373312247588,NA,0.174956510274891,0.118497394084383
"STRIP2",0.234611485589716,0.291358176449611,-0.517053795857527,-0.430525982036921
"SKIL",0.20229481520013,NA,-0.224739100546764,-0.219989163872055
"LINC00493",0.211588290443831,NA,-0.206898322647432,NA
"HIST1H1D",-0.448839578420923,-0.523345336334526,0.555677748536703,0.734642338895399
"HTATSF1",-0.206013168303097,-0.146610023760557,0.269955502743432,0.248121915002138
"C1orf162",-0.138606098377792,NA,0.12872145094802,0.117543372049394
"ST3GAL1",-0.234340863095509,-0.281891246388469,0.401362337066941,0.319262853265879
"SERPINB9",-0.132321903989952,NA,0.145760209735039,NA
"PNN",-0.320846566303656,NA,0.332792770622318,0.269300482537336
"SEC61G",0.264272345849773,NA,-0.227011228947364,-0.125504513224699
"GATA3",-0.454700665847136,-0.683613025638945,1.24370116133773,-0.188683784049283
"PPME1",0.219138186907746,-0.115316778794808,-0.102662380603258,NA
"PTPRN2",-0.180401549371964,-0.233059924245709,0.420215265562307,0.122149138581018
"IER2",-0.305751023968637,0.102304796757301,NA,0.340511875275842
"TAF1D",0.246378449217744,-0.260679553331936,0.127614902117207,-0.222017637088586
"HCLS1",-0.232857770782148,NA,0.216193711565564,0.146593679772768
"CXorf40A",0.235415043624807,NA,-0.222245763555764,NA
"AC133644.2",0.282235487864269,NA,-0.194876336758489,-0.320061342896332
"LSP1",0.350401572181589,-0.439144732065311,NA,0.17666709294429
"ZBTB25",0.181863633550034,NA,-0.224736353969711,NA
"NAE1",-0.187507160340187,NA,0.134193325476405,NA
"ABCG1",0.129736452183156,NA,-0.121929261683797,NA
"NDUFB4",0.227858079502378,NA,-0.236270133731525,NA
"RBM3",-0.22915930203132,-0.186702679253732,0.314254150047414,NA
"CTD-3138B18.5",0.190736802015647,NA,-0.131789913713462,-0.141222929369622
"CCL28",0.295269764593741,NA,-0.2234905627024,-0.144984217298734
"CENPV",-0.145183488201662,NA,0.153985359121967,NA
"FAM162A",0.258283106896826,NA,-0.288856039874209,-0.146380223065585
"DOCK8",-0.200198438557844,-0.138075989907571,0.1706423824191,0.359004459342199
"SPTSSA",-0.155837218186024,NA,0.134221681831415,0.136719534947257
"HPRT1",0.236415784136687,-0.115007827449454,-0.128624897808667,NA
"RAB29",-0.201575603256825,0.146400958788142,NA,0.159448452305116
"BCCIP",-0.157594038264445,NA,0.226127190876372,NA
"FAM101B",-0.197175294270918,-0.148847692318921,0.215783124974443,0.311576383659864
"APOL1",-0.157060940754592,0.15609477329388,NA,NA
"KLHL42",0.167889218072785,NA,-0.185537849651451,-0.154595401900196
"SCOC",0.216656413563187,NA,-0.181060705979692,-0.152543444980827
"FNBP1L",0.171373894628121,NA,-0.231356805136794,-0.214097848146786
"CCDC64B",0.263676293788614,NA,-0.21475318245526,-0.15300245481835
"LPCAT2",0.125675713351343,NA,NA,-0.100619885317627
"TRIM25",-0.204268094598325,0.113518658787114,NA,0.22380386397999
"AC090498.1",0.220776033700368,0.50528081817644,-0.894856336365724,-0.457049155824296
"PTTG1IP",0.223296463535397,0.195152369064237,-0.487831302823087,-0.213088845629568
"ZC3H12D",0.204896945284446,0.152821159983293,-0.36249632356303,-0.243948239767615
"CORO1A",-0.226911065555044,NA,NA,0.21578066254558
"CCT5",-0.229914388585437,NA,0.342273464469358,NA
"LEPROTL1",0.271517989658425,-0.285058365029339,NA,NA
"FNIP2",-0.164217409110738,0.259325106748158,NA,NA
"LDLRAD4",0.188790626554186,NA,-0.122958031539167,NA
"USP12",0.178351608830788,NA,-0.121382169549752,-0.148724901277071
"TUBA1B",-0.346329851661635,0.289718991761747,0.109686971978415,NA
"ARGLU1",-0.258919246355021,-0.173390336469809,0.378706256805276,0.222687964168921
"KDM3A",0.218267302943322,-0.208766052860488,NA,NA
"SLC35F3",0.134702508824622,-0.131984983773625,-0.108471015315985,0.124443490447546
"DDX5",-0.309243543019335,NA,0.177712987551367,0.184282783717928
"TAGLN2",0.229763487397625,0.245989261972433,-0.394433133818782,-0.484494717322418
"RPS15",0.122375584079993,NA,0.1230432026549,-0.121796452868142
"FGFR1OP2",0.264863901453082,-0.310117085901069,-0.139086274811297,0.209585044625069
"ZRANB2",-0.276854161427858,-0.118957294495377,0.350314596850344,0.205109954080234
"TARBP1",-0.152747789104132,0.108513734250641,NA,NA
"FNBP1",0.288540737049105,-0.326794144903228,-0.231356805136794,-0.214097848146786
"TOP1",-0.24493615212929,NA,0.232103133937923,0.106450712178825
"STX7",0.178636820029852,NA,-0.120252539384369,NA
"GADD45G",0.206085525454194,NA,-0.201445250922345,-0.190362017116676
"PARD6A",-0.100663939440346,NA,NA,NA
"NCL",-0.255197611010515,-0.251384724866671,0.427507639489246,0.268449693861712
"RPS11",-0.123591272884996,NA,NA,NA
"MT-ND4L",-0.254089046825711,NA,0.191238047841952,0.283532195138056
"IL32",-0.533389937828572,-0.350858115886785,0.148692757408933,1.08323073829957
"CMPK2",-0.175265208055211,0.185619865451841,-0.174752060111804,0.210116211087334
"SDCBP",0.182895937343264,-0.15225914450538,NA,NA
"UBL4A",-0.155457483309508,0.146961343504814,NA,NA
"MLEC",-0.18459420844036,NA,0.255315445039226,0.105931331821321
"PSMD3",-0.191123738951763,0.107818990791462,NA,NA
