"feature","score"
"IL9",49.7642504325982
"TYMP",21.0264851097564
"S100A6",20.5535474098934
"S100A11",19.9418135597149
"ETS2",19.4803584660991
"DHRS2",18.6466265688729
"FLOT1",17.0989313100213
"RPS6",-14.7297608032972
"CALM1",14.1645743294768
"JUN",14.0928839982587
"VIM",13.9336169799861
"RPS27A",-13.6040780812707
"PLP2",13.3187488573166
"RPS29",-13.2873086650612
"OCIAD2",13.0095893194008
"ISG15",12.9658730270639
"RPL4",-12.5828961721397
"EIF4B",-12.4486671241383
"RPL7",-12.355238932418
"RPL5",-12.2424082912208
"S100A2",11.7146637937273
"RPS24",-11.5166323254163
"RPS17",-11.3131317043597
"TIMP1",11.2928969259913
"RGCC",11.2032358832943
"AC090498.1",-11.1594942412911
"RPL15",-10.7152938962809
"ZNRF1",10.6021242580418
"RPL3",-10.5210601344256
"RPS27",-10.4890474291346
"AC092580.4",-10.4062756555801
"ISG20",10.4008525381485
"CTSL",10.324626180309
"TAGLN2",10.1509548637257
"RPS28",-9.98331878722836
"ZBED2",9.73380709213124
"RPS8",-9.63671995706318
"RPS7",-9.62802294791871
"CXCR4",9.58319865057508
"GSTO1",9.55153557008527
"SLC25A6",-9.4119379733221
"IL1R1",9.28199079080763
"TXN",9.22143865976855
"TMEM173",9.20405807991393
"CST7",-9.19538618608587
"RPS3A",-9.10075232942141
"RPL10A",-8.96378142193963
"RABAC1",8.92195610109812
"RPL27A",-8.84352041536433
"ETHE1",8.82330086504577
"CFLAR",8.77218682656393
"RPS4X",-8.75884227348423
"RPL23",-8.74923886802947
"RPSA",-8.73500912077642
"APOBEC3G",8.71298134406963
"EBI3",8.55303821926889
"IKZF3",8.51206703610911
"RPL6",-8.48515445876852
"RPL13A",-8.42530417416644
"HIST1H4C",-8.41728682367134
"FUT7",8.3612253842657
"IRF7",8.3388515052156
"RP11-305L7.1",-8.30327709227146
"BATF3",8.29072258401911
"TMSB4X",8.20377259395239
"RPLP0",-8.18360996532386
"MYL12B",8.18297038993587
"RPL37A",-8.1621953051311
"STRIP2",8.1283958553399
"IL1R2",8.0660943219156
"PLAC8",-8.06376904512865
"ARID5A",8.02134383121453
"CLIC3",7.98142703090725
"RPS3",-7.93578245819529
"IFI6",7.89349795618917
"RPL22",-7.85070751573321
"H3F3B",7.79602127170657
"SLC35F3",-7.78932493099415
"NAP1L1",-7.7860500354532
"TSHZ2",7.78336398464979
"PITPNC1",7.73137451873635
"RPL36",-7.71389653862558
"MYL12A",7.69343555862215
"EIF3L",-7.68775207080347
"AHCYL2",7.62994187084444
"RCAN2",7.5761009137777
"MIAT",7.53244383514903
"LAT",7.52849339284978
"EEF1B2",-7.51055211494351
"RPS23",-7.46899509493789
"PTGER2",-7.45510800887659
"APOBEC3H",7.40384883989998
"ABTB1",7.29476917080571
"ATP6V1D",7.25338825614122
"NPM1",-7.20060033433514
"RPS13",-7.18354558697763
"PRDX5",7.17384041631156
"RPL8",-7.158748719068
"NSG1",7.08886595108931
"CCNA1",7.03446298827011
"UPP1",7.02511780482077
"CD200",7.02507292642213
"EEF2",-6.94315261421764
"RPS16",-6.92289270568375
"LGALS3",6.79142232126554
"TRAT1",-6.78057682498593
"KIF2A",-6.77678248145457
"RPL18A",-6.73124551068578
"RPL37",-6.72633100475268
"TNFRSF12A",6.6884261316875
"PKIG",6.68066390262577
"FAM177A1",6.66608278720272
"RPL32",-6.64392899745065
"RPS18",-6.61180272830862
"AQP3",6.60638390515436
"LRP10",6.59941598410553
"S100A10",6.57291066190191
"RPS9",-6.56519137141478
"MIF",-6.51290859440579
"RALA",6.43477948255102
"HMGN2",-6.42487548612282
"SPINT1",6.40485405482065
"RPL21",-6.40071582142688
"SLC25A5",-6.389332358969
"PERP",6.38610465686667
"RPL11",-6.38269892488773
"HNRNPA3",-6.27920335795807
"RPS4Y1",-6.26740335956621
"BATF",6.26290522430765
"RNF157",-6.20317077927885
"PPP1R14B",6.1933148101671
"NCAPD2",-6.16252216187288
"RPS2",-6.13928052792838
"UNQ6494",-6.13748379405111
"RPS12",-6.12687995394276
"IL21-AS1",6.0864728485722
"PHF11",6.07230648198639
"RBCK1",6.07111065476688
"SPATS2L",6.01405500294462
"JHDM1D-AS1",5.9993307921309
"SERBP1",-5.99745115211048
"SLAMF1",5.98768755050399
"HIST1H2AH",-5.98129544166259
"MT-ND1",5.9771835129991
"DYNLRB1",5.92896809146331
"PPIL1",5.79937838885781
"RPS20",-5.798832684012
"PLIN2",5.78714499845219
"RP11-305L7.3",-5.75764007915836
"PLAUR",5.73841859436406
"GNG5",5.72436585125712
"RPL35",-5.68245679919235
"IMPDH2",-5.67926211665764
"CD63",5.6725922769406
"TMPO",-5.64587259040695
"HELZ2",5.63762805651163
"IER3",5.62974925271521
"MAGED2",5.6248049564378
"NPDC1",5.61560114702985
"CD151",5.59954718710817
"GZMB",5.59805934699053
"LGALS1",5.58461549227988
"AHCY",-5.58163718980764
"MKI67",-5.54975930062237
"METTL9",-5.51492733968012
"CD2",5.51214479708252
"TIMM17B",5.47567778138156
"CD7",5.4466682420782
"CDV3",5.40668814039333
"ITGB7",-5.3969753424921
"VOPP1",5.39437788149445
"BIRC5",-5.3813782769323
"DRAP1",5.36173670917778
"SCML4",5.35079947665312
"P4HA1",-5.33258023111287
"RPS5",-5.32244061139029
"ENO1",-5.29379742523256
"MX1",5.29202813184531
"RPL12",-5.27823069062727
"SMIM12",5.27122452050646
"CCDC92",5.26540536260034
"MYL6",5.25199975537551
"NRBP1",5.19136938917661
"ADAM19",5.1374523818444
"SRPRA",-5.13701976669559
"NKAP",5.13131780948013
"RPL34",-5.13014617719875
"CD48",-5.11330256199154
"SMIM20",5.10848947759564
"SERINC1",5.10062449513449
"MPHOSPH9",-5.08652841903095
"RPL39",-5.08301897381341
"GATA3",-5.081970251944
"LPIN2",5.03086673310409
"JUNB",5.0273657544127
"PTPRC",-5.02027032952545
"CLIC1",5.01498422910259
"C19orf66",4.98575251711853
