"feature","score"
"PTGER2",30.3867714027386
"PLAC8",26.7257931322356
"DPP4",24.4662684336235
"RGCC",-23.1768554139063
"XAF1",22.0968259960506
"PLP2",-21.1065723154287
"GPRIN3",18.6838136438512
"SYNE2",18.6474407612735
"CD48",17.9044590906957
"WIPF1",16.7138504089528
"MYO1F",16.6284539574519
"SMAD3",16.23381481141
"PTPRC",16.0189107600005
"JAML",-15.3886707749463
"IL32",14.9266127806231
"SAMD9",14.6629286385138
"ATM",14.3239682419074
"SAMHD1",14.2613068540525
"STAT1",14.0980388803779
"EPSTI1",14.0006539451115
"DIXDC1",-13.7641003987558
"DDHD1",13.335978382163
"ETS1",13.1989779268151
"SMCHD1",13.0445019352118
"CD38",12.9659802752478
"MAL",12.9249054282267
"PRDM1",12.8456732354312
"HIST1H1D",12.7831425949707
"ARAP2",12.6815495667821
"TNFSF10",12.656352391231
"SESN3",12.607055393047
"MPRIP",12.5177095346067
"ARL4C",12.480204820691
"LRRN3",12.4470617432128
"GBP5",12.2479492659825
"ZBED2",-12.2168672404821
"TMSB10",12.10966674794
"PARP14",12.0717171647198
"ELF1",11.8799841530711
"TRAT1",11.8638738627445
"LMNA",-11.861406233259
"HRH2",11.8394748314157
"CASP4",11.8157617310226
"CYSLTR1",11.6570925140144
"CARD16",11.5927416345595
"RBPJ",-11.5813793808337
"GSTK1",11.3366075849253
"PIK3R1",11.1930772561372
"RPS6KA5",11.0710366738667
"GSTO1",-10.8502232608542
"AHCYL2",-10.4849573037469
"RPS4Y1",10.4032581025567
"S100A6",-10.386127706317
"DDIT4",-10.327864038733
"LMO7",10.2747310950771
"NPAT",10.2151159315191
"GIMAP6",10.1282311345155
"STAP1",10.0155876714504
"EVL",9.91304043214926
"RPS24",9.69079202141467
"TAGLN2",-9.68542831448424
"NEDD9",9.66001989679356
"PYHIN1",9.63760525839088
"SLFN5",9.61465382931018
"ITM2B",9.60625277264551
"SAMD9L",9.59432732151864
"STAG2",9.57006831655097
"SIPA1L1",9.54346699033832
"PRKX",9.5167117352927
"STRIP2",-9.40844634268113
"CD52",9.3218667479871
"OCIAD2",-9.26013475516749
"CST7",9.22527128191733
"LYST",9.15785926914189
"TBC1D1",9.13612820923706
"FAM101B",9.03807937688839
"UTRN",8.88742981399227
"KLF2",8.84356468435603
"ST3GAL1",8.72348179863284
"LGALS3",-8.67730263408552
"AC092580.4",8.67233143496128
"MX1",8.57443905866123
"RAN",-8.51332892852357
"PERP",-8.46368381924087
"CHST12",8.45004637830663
"SOS1",8.44960992917717
"PPP1R2",-8.43014244563546
"DOCK8",8.42063485542989
"XBP1",8.41231273120951
"CTSL",-8.37243793212832
"NAP1L4",8.31910710430722
"CD200",-8.27833151001122
"GPR65",8.26195920395222
"IFITM2",8.24080174521993
"NCALD",8.23151142176781
"FYB",8.21542988372444
"PTP4A2",8.17485940487578
"TLK1",8.14689544979038
"PYCARD",8.13404194165944
"CLECL1",8.12751854388969
"VDAC2",-8.0540480853608
"LTB",8.04489003384425
"RALA",-8.0120594891362
"ETHE1",-7.98944114525525
"TNIK",7.98631560704911
"ADD3",7.94661688943878
"BDH1",7.93236195626898
"MT-ATP6",7.91289049199882
"OXNAD1",7.87867330099498
"LCK",7.87496177466363
"KLF7",-7.86715176072291
"DUSP5",7.84058532480445
"EIF2AK2",7.78462091653038
"TBC1D2B",7.76070341512052
"NIN",7.75904027462041
"ARID5A",-7.74916446410976
"CD96",7.74751939986783
"TMEM123",7.74343607290097
"FRMD4B",7.72819634391371
"TC2N",7.71884327969658
"RNASEH2B",7.70184164059861
"PMEPA1",-7.66916336590033
"PPP1R14B",-7.65803114813395
"GNB2L1",-7.6507634369355
"OAS3",7.57228572434242
"RBL2",7.54903314063504
"ANKRD36C",7.39813975580724
"ST3GAL5",7.39676384088479
"HBEGF",7.33184120129222
"HIST1H1B",7.32605103099501
"IFI16",7.31681026125149
"KIAA1551",7.31504037845886
"HIST2H2AC",7.28809425639754
"GBP1",7.27869846601643
"DNAJC12",-7.27497255659108
"CYLD",7.24559117393598
"GMFG",7.22840293256055
"LAT",-7.22661933525162
"DYNLT1",7.22518469906009
"RP1-187B23.1",7.21792774424654
"HIST1H1E",7.21371229092944
"MMP25-AS1",7.18959297302192
"PRF1",7.15154894421607
"PSIP1",7.14009179176485
"GZMA",7.10815618583331
"NSF",7.09452307220312
"RNF157",7.08289768143073
"IKZF1",7.04366042083386
"JAK1",7.04202467390644
"EGFL6",7.02126568443493
"RARRES3",7.0059834037341
"CASP1",6.99744871310629
"TRMT112",-6.99097224340405
"CFLAR",-6.97749828097039
"SEPT6",6.96459275933054
"LY6E",6.9621898453913
"OXR1",6.92753002099111
"BATF",-6.918260701071
"NFKBIA",-6.9058296397703
"HIC1",6.90191481648463
"SRBD1",6.8750989564311
"SNRK",6.86344441005662
"RPA1",6.81658062322648
