"feature","score"
"S100A6",63.7227057877421
"PLP2",36.9516000542465
"PERP",34.6372294781259
"PRG4",30.0553437534315
"KIF2A",-29.5475216046046
"GATA3",-29.0990536634767
"S100A2",28.4578237663883
"LIMA1",-28.3246949248323
"DHRS3",-27.4387235387313
"MALAT1",26.3667596645394
"RGCC",25.6929412752833
"NSMCE1",-24.9480793857794
"RPS24",-24.1259348513788
"AC090498.1",23.3276223007555
"TYMP",23.1285831916707
"AC092580.4",-22.6172075078752
"VOPP1",21.6825647341377
"TSHZ2",21.6665413851378
"IFITM1",21.6424041925411
"TRAF3IP3",-21.2806902569616
"DHRS2",21.1346604873197
"PALLD",21.005524958063
"RAB11FIP1",-20.9901803989092
"PDE3B",-20.818012352468
"CD52",-20.5264820653177
"OXNAD1",-20.4476348637996
"CST7",-19.4269538519226
"TNFRSF8",19.0572675082485
"CD55",-18.8723362395276
"CYLD",-18.6071390687625
"CRIP1",18.3880874566722
"PTPRC",-18.3519332988477
"RNF125",-18.2401290100892
"PTGER2",-18.1933777954618
"JUNB",17.855089289887
"MT-ND3",17.7109084676889
"WHSC1L1",-17.3735366468908
"IL1R2",17.0535200732295
"ZNRF1",17.0440929589559
"PIK3R1",-16.4274262597508
"CD48",-16.3047642677647
"LYST",-16.1709738056403
"TXNDC17",16.0322140411984
"RP11-1399P15.1",-16.0244696110194
"GMFG",-15.8269740214218
"EPAS1",15.7991861773654
"SESN3",-15.7523726621989
"TIMP1",15.73286536032
"RSL1D1",-15.6316222779619
"STK17B",-15.5200006960906
"HOPX",15.4828185376911
"IFI6",15.4787788538745
"COTL1",-15.3105295754342
"IL9",15.2718127107129
"S100A4",15.2479053614017
"PLAC8",-14.9719946917536
"H2AFZ",14.8901651376509
"RAB8B",-14.8531470940859
"UNQ6494",-14.7463605812434
"WIPF1",-14.368004482856
"FURIN",14.1721907588402
"ID2",-14.1623019697502
"MIAT",14.1161114214535
"CYSLTR1",-13.9063002925925
"PHF11",13.7781942250034
"RP5-1028K7.2",13.7780534319666
"DHRS9",13.7612299742128
"RPL10A",-13.6748586092239
"SERPINA1",13.6666371217616
"CD38",-13.6532686088271
"NAPSA",13.458344038243
"STRIP2",13.3885992666207
"LGALS3",13.3856868783021
"IL4R",-13.2376721259897
"SLC39A8",-12.9443256100269
"IFIT1",12.94229763052
"RPL38",12.9414438299326
"PAK2",-12.905795246911
"TBC1D4",-12.8567698432792
"CLEC2D",-12.7910639272364
"PTPRN2",-12.6939356658082
"CTLA4",-12.6717431139596
"NCOA3",-12.6212888456322
"FAM105A",-12.4329503493651
"LRRN3",-12.4127590973325
"LY96",12.2406484040319
"INPP4B",-12.1980735885519
"LDHA",-12.1704227037172
"ZBED2",12.1368424633442
"AUH",-12.1299508748696
"GNPTAB",-12.1011365615465
"ISG15",12.0818866886802
"DNAJB6",12.0655309299318
"FNBP1",-12.0503426040344
"CD2",11.9494548159878
"ANXA1",-11.8816240568948
"PHLDA1",-11.8637888802649
"FNIP2",11.8635067258678
"LSP1",-11.8176237306557
"CD247",-11.7154634229109
"PPFIBP1",-11.6472236949675
"FOXN3",-11.6214802548243
"IFI44L",11.5404746487106
"BCAT1",11.5187434915595
"BHLHE40",-11.4592191436905
"IRF7",11.4518119557013
"TIAM1",-11.3874540728057
"BARX2",11.367479229679
"SOCS3",11.1916317319984
"HERC5",11.1775960542596
"FUT7",11.1499902525996
"RPP30",11.0761423635383
"SPINT1",11.0649312523972
"RBPJ",11.055210091886
"EVL",-10.9622047458234
"ST3GAL1",-10.9265734610308
"SMAD2",-10.6701899223916
"ATM",-10.5461703105223
"MGEA5",-10.526421223166
"RORA",10.507976545843
"SYTL3",-10.4930573306527
"CLDND1",-10.4872156541418
"LYPLA1",-10.4309511224782
"MYB",-10.2299559858474
"HLA-C",10.2222769204783
"GALNT10",10.1532607710433
"SLC38A5",10.1041371386682
"BCL6",10.081546560236
"EXOC3",-9.99969591350631
"RPL37A",9.97787744254209
"AQP3",9.9536806293231
"PAG1",-9.93718230146048
"RGS1",-9.88286711990971
"IL23R",9.78695145643118
"AHCYL2",9.78299769906649
"IFIT3",9.77942933530966
"ARL4C",-9.74735895726345
"CPOX",-9.71730893034733
"MAST4",9.66590592863923
"MIF",9.65443372623857
"HIST1H1D",-9.57999125183253
"RPS27",9.46699732425111
"SMCHD1",-9.4527318283023
"RPL13",-9.40635928747744
"APBB1IP",-9.37498497436671
"SIRPG",-9.36022747072012
"RPS4Y1",-9.3296339127952
"SMYD3",9.3295818771619
"THEMIS",-9.27834409198567
"SLC25A5",-9.22987393524859
"FAM49B",-9.20221970793023
"IKZF3",9.13917517601379
"SKAP1",-9.10651738800463
"TNIP2",9.08250386588494
"RPS9",-9.04386236391826
"CD68",9.03663169610087
"ST8SIA4",-9.02977128968741
"BCL2L11",-8.99645290255124
"HCFC1R1",8.95969534893614
"TIFA",8.93707839607088
"CAMK4",-8.85036013492871
"BLVRB",8.84257701143901
"LAYN",-8.83904610240575
"RPS3",-8.83223192173912
"HNRNPA3",-8.82924722341098
"ITGB7",-8.80967417102315
"SEPT7",-8.80055896196339
"FYN",-8.78789600524187
"ITM2A",-8.73906674341127
"USP18",8.70514102766519
"PLEKHA1",-8.69664069501951
"NDFIP2",-8.66315536217805
"EID1",-8.66011528642563
"C12orf75",-8.59202254169542
"SFXN1",-8.57407026676554
"NCR3",-8.52503102004176
"C19orf66",8.51537873214493
"SLC25A4",8.49641182182618
"RALB",-8.48246829104295
"RNMT",-8.4532581081416
"CTSL",8.40541457668684
"SAMSN1",-8.39643153641573
"HERC3",-8.38250525156282
"FLJ21408",-8.37269393305475
"RPS6",-8.3411915326214
"C15orf48",8.2950671246262
"FOXN2",-8.29178782632011
"RPL11",-8.26999412495959
"FTL",8.1960634132729
"ETS1",-8.1936496527451
"MT2A",8.16557711062994
"DDX24",-8.158372456984
"RPL37",8.11155757588669
"CD27",-8.07788257046082
"GPX4",-8.04642278538441
"SLC25A6",-8.04530639281502
"AC147651.4",8.03668553902841
"G3BP2",-8.02273750559255
"GPR157",7.96704241080161
"PPP1R14A",-7.95904834966305
"RBM47",-7.95536215228195
"CAB39",-7.9384934072316
